restaurant,period,forecast_origin,target_date,q025,q05,q20,q25,q35,median,q65,q75,q80,q95,q975,predictive_sd,lead_days,actual_sales,actual_available,run_id
hurricane,forecast_horizon,2025-02-28,2025-03-14,12273.500412043531,12407.965120496847,12855.29196964708,12958.05631905939,13129.933146505993,13359.774078523958,13626.27215018704,13813.71158768152,13904.911502366454,14342.952721264086,14540.071516051808,608.224407343646,14,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-14,12519.41368116118,12649.551150968997,13093.659551766874,13184.28214568735,13360.193755339706,13609.434874115312,13844.415424691617,14026.327815183326,14126.994170003025,14656.102999188934,14893.821301945261,617.6772964669351,14,,False,2025-02-28_springdale
all,historical_model_estimate,2025-02-28,2024-01-01,39080.80537215248,39812.68208890472,42192.448371875245,42691.341239666435,43562.66318576364,44536.35503632345,45469.00211328809,46261.16269703086,46771.38942414068,48944.152826368845,49487.62304086864,2727.0247119510695,-424,43641.02118441682,True,aggregate_independent_posterior_pairing
downtown,historical_model_estimate,2025-02-28,2024-01-01,5115.701496536106,5573.587213358096,6779.138788138632,7065.132676520294,7416.971602523674,7919.994991859125,8499.636126680412,8927.013262948825,9128.173650386942,10366.21791634844,10771.707531208709,1451.4158142280419,-424,7155.035806580749,True,2025-02-28_downtown
fscoffee,historical_model_estimate,2025-02-28,2024-01-01,10928.214304672754,11613.246119026957,12847.437236278594,13104.107180730947,13528.298445624549,14029.982325604395,14487.192988989756,14902.253615474554,15123.358991694677,16333.812781132794,16773.163253919633,1423.8651510955958,-424,13757.648095876104,True,2025-02-28_fscoffee
hurricane,historical_model_estimate,2025-02-28,2024-01-01,10121.947185614152,10537.188886280299,11478.255350310807,11688.745710796857,12142.943677839308,12609.004812239365,13062.954746293775,13465.302438406085,13688.866154955738,14629.954066489785,15189.094426859197,1273.2502319298937,-424,13058.719237513726,True,2025-02-28_hurricane
springdale,historical_model_estimate,2025-02-28,2024-01-01,7144.183345971872,7662.80297477538,8718.461847966775,8939.184378037413,9415.560021424513,10015.818034837419,10511.980090466493,10968.146950477148,11208.73474991353,12223.758555285078,12488.901715091235,1392.3087118537062,-424,9669.618044446248,True,2025-02-28_springdale
all,historical_model_estimate,2025-02-28,2024-01-02,37632.435019024284,38821.19565104685,41576.30687498434,42327.949288275326,43294.14751735453,44772.229132640154,46273.793850679845,47423.68390816059,48032.20988945991,50629.89642456077,51961.25958320896,3682.4641475058615,-423,43525.22933044413,True,aggregate_independent_posterior_pairing
downtown,historical_model_estimate,2025-02-28,2024-01-02,4240.173107269303,4750.820944865707,6348.660700900412,6657.963188812682,7167.439623898098,7759.342811547282,8571.54871265569,9060.52030929323,9451.723196337802,10994.829640468266,11587.741410871095,1877.8953042433607,-423,8149.393954550432,True,2025-02-28_downtown
fscoffee,historical_model_estimate,2025-02-28,2024-01-02,10467.883284485351,11168.003296072568,12695.742864020736,13019.490443665802,13485.094384446815,14226.530215991163,14859.124225008913,15354.784529007691,15660.126583463993,16849.31092114796,17716.876965556825,1796.5322815051875,-423,13820.03690863761,True,2025-02-28_fscoffee
hurricane,historical_model_estimate,2025-02-28,2024-01-02,8611.02288090851,9159.220264442658,10545.236749688349,10862.979289665522,11357.612902035073,12038.27640250012,12760.447777901942,13242.581081829423,13575.474926128394,15269.856979828219,15868.265639206234,1820.1553547645353,-423,10733.2360510186,True,2025-02-28_hurricane
springdale,historical_model_estimate,2025-02-28,2024-01-02,6713.73815105402,7546.642284675889,9060.452050103806,9453.144823068516,10023.004855110752,10705.383605849043,11433.234293843401,11929.476254395126,12305.653732261348,13757.509689610191,14382.82613815814,1930.8643759114034,-423,10822.562416237484,True,2025-02-28_springdale
all,historical_model_estimate,2025-02-28,2024-01-03,42296.617433374995,42930.46138216077,44674.23593431994,45004.48252220596,45493.15296929075,46257.61287932651,46747.507882138874,47450.2364319972,47774.54197387345,49529.173422062806,50218.76073115023,1978.4896668504907,-422,45433.599965983034,True,aggregate_independent_posterior_pairing
downtown,historical_model_estimate,2025-02-28,2024-01-03,6390.052716913698,6706.712160533955,7625.677046400021,7752.062763744439,8045.972333213786,8428.421187569998,8803.294075823476,9080.018418184141,9260.992826862015,10109.109990122977,10365.718760768637,1022.1332228549467,-422,8999.326473944211,True,2025-02-28_downtown
fscoffee,historical_model_estimate,2025-02-28,2024-01-03,12021.774353883413,12423.304284899523,13266.665262464807,13428.268020291105,13664.444829931072,14122.25899569068,14478.416950619185,14784.0975111666,14948.90160264739,15819.729429956209,16156.838373946568,1044.6020068020034,-422,13863.6436612508,True,2025-02-28_fscoffee
hurricane,historical_model_estimate,2025-02-28,2024-01-03,10079.699350175619,10358.623892107598,11150.35391888566,11288.006040562996,11554.261359041808,11988.456466953641,12323.467852604188,12577.496724397784,12749.949728058851,13618.226336435626,14012.535830708886,986.544510092431,-422,11051.950061931868,True,2025-02-28_hurricane
